Stock Name,Basic Industry,Sector,Company Name
HISARMETAL,Iron & Steel,Metals & Mining,Hisar Metal Industries Limited
GHCLTEXTIL,Chemicals-Basic,Chemicals,GHCL Textiles Limited
HATHWAY,TV Broadcasting & Software,Telecommunication,Hathway Cable & Datacom Limited
PODDARMENT,Chemicals Specialty,Chemicals,Poddar Pigments Limited
IVP,Chemicals Specialty,Chemicals,IVP Limited
RECLTD,NBFC,Financial Services,REC Limited
PPLPHARMA,Medical-Diversified,Healthcare,Piramal Pharma Limited
PAGEIND,Textiles,Textiles,Page Industries Limited
ORIENTELEC,Household Appliances,Consumer Durables,Orient Electric Limited
RHL,Hotels,Consumer Services,Robust Hotels Limited
TATAELXSI,Software Products,Information Technology,Tata Elxsi Limited
JAYSREETEA,Tea & Coffee,FMCG,Jayshree Tea & Industries Limited
MAGADSUGAR,Sugar,FMCG,Magadh Sugar & Energy Limited
WSTCSTPAPR,Paper & Paper Products,Forest Materials,West Coast Paper Mills Limited
SHYAMTEL,Computer-Networking,Information Technology,Shyam Telecom Limited
TEXMOPIPES,Construction Products Miscallaneous,Construction,Texmo Pipes and Products Limited
TIINDIA,Auto Ancilaries,Auto,Tube Investments of India Limited
TIPSMUSIC,Media & Entertainment,Media Entertainment & Publication,Tips Music Limited
OCCLLTD,Chemicals Specialty,Chemicals,OCCL Limited
LOTUSDEV,Real Estate,Realty,Sri Lotus Developers and Realty Limited
DCMFINSERV,NBFC,Financial Services,DCM Financial Services Limited
ALKYLAMINE,Chemicals Specialty,Chemicals,Alkyl Amines Chemicals Limited
GALAXYSURF,Chemicals Specialty,Chemicals,Galaxy Surfactants Limited
ANDHRAPAP,Paper & Paper Products,Forest Materials,ANDHRA PAPER LIMITED
ADSL,Software Services,Information Technology,Allied Digital Services Limited
BANSWRAS,Textiles,Textiles,Banswara Syntex Limited
HITECH,Iron & Steel,Metals & Mining,Hi-Tech Pipes Limited
GREAVESCOT,Auto Ancilaries,Auto,Greaves Cotton Limited
ABMINTLLTD,Chemicals Specialty,Chemicals,ABM International Limited
GLOBALVECT,Airlines,Services,Global Vectra Helicorp Limited
MAHAPEXLTD,NBFC,Financial Services,Maha Rashtra Apex Corporation Limited
PNBGILTS,Investment Banking & Broking,Financial Services,PNB Gilts Limited
MAHSEAMLES,Iron & Steel,Metals & Mining,Maharashtra Seamless Limited
PURVA,Real Estate,Realty,Puravankara Limited
